Дата,Открытие,Макс,Мин,Средняя,Закрыть,Изм.,Объём,Изм. Объема,Капитализ.,Изм. Капитализ.
2025-06-09,"$2,509","$2,564","$2,482","$2,530","$2,564",2.18,"$6,363,313,461",35.52,"$309,550,694,998",2.20
2025-06-08,"$2,527","$2,541","$2,495","$2,518","$2,509",-0.699,"$4,695,476,215",16.93,"$302,895,144,740",-0.690
2025-06-07,"$2,480","$2,540","$2,463","$2,502","$2,526",1.89,"$4,015,470,520",-47.70,"$304,998,298,251",1.81
2025-06-06,"$2,418","$2,521","$2,407","$2,457","$2,481",2.62,"$7,678,377,029",-30.55,"$299,569,204,479",2.59
2025-06-05,"$2,610","$2,636","$2,408","$2,518","$2,419",-7.31,"$11,055,629,365",46.83,"$291,993,241,343",-7.33
2025-06-04,"$2,594","$2,671","$2,592","$2,617","$2,610",0.605,"$7,529,645,046",3.03,"$315,104,094,236",0.666
2025-06-03,"$2,610","$2,648","$2,592","$2,611","$2,593",-0.663,"$7,308,232,982",0.781,"$313,018,198,437",-0.730
2025-06-02,"$2,536","$2,612","$2,480","$2,560","$2,612",2.98,"$7,251,593,971",47.62,"$315,320,645,027",2.98
2025-06-01,"$2,529","$2,547","$2,483","$2,523","$2,536",0.307,"$4,912,252,057",-13.74,"$306,188,849,318",0.244
2025-05-31,"$2,532","$2,549","$2,492","$2,526","$2,530",-0.0763,"$5,694,667,767",-46.57,"$305,442,841,430",-0.0244
2025-05-30,"$2,632","$2,644","$2,520","$2,582","$2,531",-3.84,"$10,658,185,529",-7.41,"$305,517,489,467",-3.80
2025-05-29,"$2,682","$2,772","$2,631","$2,679","$2,631",-1.90,"$11,510,790,412",44.72,"$317,596,018,758",-1.80
2025-05-28,"$2,663","$2,684","$2,619","$2,661","$2,679",0.617,"$7,953,638,196",-23.80,"$323,425,904,025",0.567
2025-05-27,"$2,564","$2,706","$2,521","$2,614","$2,664",3.89,"$10,438,341,458",94.05,"$321,603,653,612",3.87
2025-05-26,"$2,552","$2,588","$2,532","$2,559","$2,565",0.496,"$5,379,101,179",-3.91,"$309,610,902,575",0.667
2025-05-25,"$2,529","$2,552","$2,476","$2,526","$2,548",0.715,"$5,597,789,863",37.50,"$307,560,169,586",0.783
2025-05-24,"$2,523","$2,574","$2,520","$2,536","$2,528",0.209,"$4,071,154,220",-68.43,"$305,172,107,387",0.400
2025-05-23,"$2,662","$2,724","$2,512","$2,604","$2,518",-5.44,"$12,894,504,487",5.40,"$303,954,973,182",-5.43
2025-05-22,"$2,551","$2,686","$2,551","$2,613","$2,662",4.34,"$12,233,735,406",-12.13,"$321,394,920,684",4.19
2025-05-21,"$2,525","$2,610","$2,466","$2,539","$2,555",1.19,"$13,922,954,647",48.83,"$308,465,518,296",1.24
2025-05-20,"$2,531","$2,580","$2,451","$2,521","$2,524",-0.287,"$9,355,000,007",-25.68,"$304,674,591,669",-0.340
2025-05-19,"$2,494","$2,532","$2,359","$2,479","$2,532",1.54,"$12,586,714,947",14.56,"$305,715,452,799",1.79
2025-05-18,"$2,476","$2,581","$2,372","$2,479","$2,488",0.485,"$10,987,093,922",42.33,"$300,335,910,191",0.489
2025-05-17,"$2,536","$2,536","$2,455","$2,501","$2,476",-2.39,"$7,719,240,354",-12.90,"$298,875,848,684",-2.39
2025-05-16,"$2,543","$2,634","$2,536","$2,562","$2,536",-0.256,"$8,862,240,880",-20.66,"$306,197,598,232",-0.305
2025-05-15,"$2,606","$2,634","$2,490","$2,569","$2,544",-2.39,"$11,169,609,848",-6.62,"$307,134,911,589",-2.28
2025-05-14,"$2,675","$2,706","$2,556","$2,635","$2,603",-2.66,"$11,961,865,877",-17.11,"$314,316,443,187",-2.62
2025-05-13,"$2,493","$2,705","$2,427","$2,575","$2,674",7.23,"$14,430,215,925",0.673,"$322,781,642,989",7.26
2025-05-12,"$2,513","$2,602","$2,429","$2,509","$2,493",-0.814,"$14,333,794,137",20.71,"$300,939,435,914",-0.650
2025-05-11,"$2,586","$2,586","$2,455","$2,534","$2,509",-2.97,"$11,874,788,635",-15.40,"$302,907,518,874",-3.05
2025-05-10,"$2,343","$2,588","$2,331","$2,462","$2,588",10.45,"$14,035,763,645",-30.98,"$312,427,420,944",10.51
2025-05-09,"$2,199","$2,461","$2,189","$2,298","$2,342",6.50,"$20,336,676,269",17.22,"$282,713,535,496",6.70
2025-05-08,"$1,811","$2,209","$1,810","$2,006","$2,195",21.20,"$17,348,680,260",-57.74,"$264,971,438,166",21.18
2025-05-07,"$1,817","$1,847","$1,792","$1,817","$1,811",-0.304,"$41,050,724,019",648.60,"$218,656,394,806",-0.341
