Дата,Открытие,Макс,Мин,Средняя,Закрыть,Изм.,Объём,Изм. Объема,Капитализ.,Изм. Капитализ.
2025-06-09,$152.43,$156.44,$149.93,$153.81,$156.44,2.63,"$2,262,193,512",66.65,"$82,118,168,854",2.57
2025-06-08,$150.11,$154.85,$148.24,$151.44,$152.55,1.63,"$1,357,439,380",-2.06,"$80,062,391,067",1.67
2025-06-07,$148.06,$152.65,$147.26,$149.50,$150.05,1.35,"$1,386,025,930",-30.98,"$78,748,652,657",1.42
2025-06-06,$144.54,$151.85,$144.45,$147.25,$148.15,2.50,"$2,008,109,466",-40.09,"$77,645,730,234",2.53
2025-06-05,$153.33,$154.28,$142.32,$148.61,$144.50,-5.76,"$3,351,802,624",70.89,"$75,733,219,718",-5.50
2025-06-04,$155.36,$157.79,$153.23,$154.93,$153.36,-1.28,"$1,961,376,205",-27.38,"$80,138,541,083",-1.28
2025-06-03,$157.01,$162.85,$154.77,$157.49,$155.35,-1.06,"$2,700,758,142",22.06,"$81,174,420,404",-1.07
2025-06-02,$157.73,$158.81,$152.09,$156.42,$157.07,-0.417,"$2,212,655,486",19.25,"$82,055,342,592",-0.424
2025-06-01,$156.53,$157.76,$151.02,$155.76,$157.74,0.769,"$1,855,530,103",-5.78,"$82,404,488,094",0.687
2025-05-31,$156.37,$157.89,$152.55,$155.88,$156.70,0.212,"$1,969,409,537",-37.39,"$81,841,865,961",0.116
2025-05-30,$166.65,$167.31,$156.17,$161.66,$156.52,-6.08,"$3,145,350,418",29.00,"$81,746,978,385",-5.73
2025-05-29,$172.21,$175.05,$166.59,$170.11,$166.59,-3.27,"$2,438,190,401",-2.15,"$86,713,429,792",-3.24
2025-05-28,$176.78,$177.26,$169.46,$173.92,$172.18,-2.60,"$2,491,881,582",-6.31,"$89,621,411,406",-2.59
2025-05-27,$174.95,$179.14,$171.79,$175.67,$176.79,1.05,"$2,659,758,042",34.98,"$92,003,197,773",1.07
2025-05-26,$175.71,$178.31,$173.91,$175.71,$174.92,-0.448,"$1,970,474,682",-19.23,"$91,028,530,114",-0.231
2025-05-25,$175.87,$176.22,$169.48,$174.23,$175.36,-0.290,"$2,439,762,625",15.16,"$91,239,317,376",-0.249
2025-05-24,$173.78,$178.13,$173.01,$175.18,$175.80,1.16,"$2,118,665,470",-59.69,"$91,466,784,003",1.09
2025-05-23,$179.71,$187.15,$173.84,$178.66,$173.95,-3.21,"$5,256,005,332",51.63,"$90,482,229,166",-3.21
2025-05-22,$173.81,$180.14,$172.96,$176.66,$179.73,3.40,"$3,466,386,840",-7.96,"$93,487,678,641",3.36
2025-05-21,$168.59,$174.72,$166.68,$170.98,$173.92,3.16,"$3,766,226,850",41.41,"$90,444,650,054",3.24
2025-05-20,$166.93,$172.53,$164.81,$168.18,$168.46,0.917,"$2,663,343,703",-16.67,"$87,607,644,896",0.919
2025-05-19,$173.46,$173.46,$160.05,$168.48,$166.96,-3.74,"$3,196,309,382",15.54,"$86,810,023,352",-3.72
2025-05-18,$165.95,$176.28,$165.55,$170.30,$173.42,4.50,"$2,766,337,911",40.22,"$90,166,495,269",4.53
2025-05-17,$167.41,$169.49,$164.57,$166.85,$165.94,-0.880,"$1,972,861,751",-20.62,"$86,256,213,905",-0.819
2025-05-16,$168.97,$173.86,$167.07,$169.30,$167.31,-0.987,"$2,485,292,545",-19.38,"$86,968,258,281",-0.997
2025-05-15,$176.57,$177.95,$167.39,$172.73,$169.03,-4.27,"$3,082,634,452",-7.40,"$87,844,407,849",-4.19
2025-05-14,$183.89,$183.95,$173.91,$179.55,$176.46,-4.04,"$3,328,809,526",-9.79,"$91,683,163,854",-4.07
2025-05-13,$174.37,$184.16,$167.22,$177.44,$184.00,5.52,"$3,689,865,330",-24.76,"$95,576,107,705",5.48
2025-05-12,$173.23,$180.21,$169.40,$174.32,$174.44,0.698,"$4,903,968,667",71.28,"$90,613,577,405",0.927
2025-05-11,$177.55,$179.56,$170.22,$175.05,$172.88,-2.63,"$2,863,143,906",-0.202,"$89,781,399,765",-2.38
2025-05-10,$172.73,$177.66,$169.12,$174.17,$177.17,2.57,"$2,868,941,547",-48.35,"$91,974,626,698",2.65
2025-05-09,$163.73,$174.94,$161.37,$168.17,$172.63,5.44,"$5,554,085,964",13.63,"$89,598,046,672",5.64
2025-05-08,$147.20,$163.50,$147.19,$155.33,$163.41,11.01,"$4,887,961,491",35.94,"$84,814,288,576",11.05
2025-05-07,$146.82,$149.29,$145.18,$147.12,$147.18,0.247,"$3,595,568,461",75.57,"$76,371,874,046",0.198
2025-05-06,$146.73,$147.06,$141.82,$145.66,$147.06,0.226,"$2,047,959,397",25.63,"$76,221,212,781",0.223
2025-05-05,$143.99,$147.45,$143.24,$145.36,$146.76,1.93,"$1,630,091,352",39.39,"$76,051,643,063",2.04
2025-05-04,$146.76,$147.52,$143.83,$145.48,$143.83,-2.00,"$1,169,462,536",1.96,"$74,529,418,024",-2.04
2025-05-03,$148.01,$148.97,$146.16,$147.50,$146.85,-0.784,"$1,146,945,580",-46.48,"$76,080,312,245",-0.787
