Дата,Открытие,Макс,Мин,Средняя,Закрыть,Изм.,Объём,Изм. Объема,Капитализ.,Изм. Капитализ.
2025-06-09,$1.00,$1.00,$1.00,$1.00,$1.00,0.0102,"$34,630,490,410",29.73,"$154,831,662,880",0.0102
2025-06-08,$1.00,$1.00,$1.00,$1.00,$1.00,-0.00437,"$26,694,051,292",-5.80,"$154,815,848,019",0.180
2025-06-07,$1.00,$1.00,$1.00,$1.00,$1.00,-0.0212,"$28,336,631,541",-29.07,"$154,537,191,337",0.202
2025-06-06,$1.00,$1.00,$1.00,$1.00,$1.00,0.0298,"$39,952,613,124",-6.64,"$154,225,023,520",0.219
2025-06-05,$1.00,$1.00,$1.00,$1.00,$1.00,-0.00639,"$42,792,021,035",15.72,"$153,888,722,841",0.0668
2025-06-04,$1.00,$1.00,$1.00,$1.00,$1.00,-0.0105,"$36,979,097,132",-9.05,"$153,786,068,596",0.255
2025-06-03,$1.00,$1.00,$1.00,$1.00,$1.00,0.0156,"$40,658,713,265",11.05,"$153,395,283,590",0.122
2025-06-02,$1.00,$1.00,$1.00,$1.00,$1.00,0.00279,"$36,613,932,660",17.28,"$153,208,042,902",0.0353
2025-06-01,$1.00,$1.00,$1.00,$1.00,$1.00,0.00448,"$31,219,098,981",-19.33,"$153,153,971,563",0.0478
2025-05-31,$1.00,$1.00,$1.00,$1.00,$1.00,0.00818,"$38,697,942,787",-30.73,"$153,080,833,417",-0.0255
2025-05-30,$1.00,$1.00,$1.00,$1.00,$1.00,0.0311,"$55,863,802,200",16.13,"$153,119,891,881",0.0723
2025-05-29,$1.00,$1.00,$1.00,$1.00,$1.00,-0.0219,"$48,106,512,679",12.20,"$153,009,191,825",0.0487
2025-05-28,$1.00,$1.00,$1.00,$1.00,$1.00,-0.0213,"$42,875,261,228",-10.16,"$152,934,781,282",0.0732
2025-05-27,$1.00,$1.00,$1.00,$1.00,$1.00,0.0184,"$47,722,555,746",31.53,"$152,822,937,592",0.0331
2025-05-26,$1.00,$1.00,$1.00,$1.00,$1.00,-0.00526,"$36,282,141,353",0.635,"$152,772,439,801",-0.00989
2025-05-25,$1.00,$1.00,$1.00,$1.00,$1.00,0.0131,"$36,053,351,322",8.64,"$152,787,551,818",0.0356
2025-05-24,$1.00,$1.00,$1.00,$1.00,$1.00,0.0114,"$33,187,427,513",-50.00,"$152,733,217,609",0.154
2025-05-23,$1.00,$1.00,$1.00,$1.00,$1.00,-0.00669,"$66,372,112,850",6.44,"$152,497,930,426",0.0524
2025-05-22,$1.00,$1.00,$1.00,$1.00,$1.00,-0.0219,"$62,355,429,921",-2.59,"$152,418,008,141",0.297
2025-05-21,$1.00,$1.00,$1.00,$1.00,$1.00,0.00891,"$64,014,178,608",41.11,"$151,966,713,947",0.220
2025-05-20,$1.00,$1.00,$1.00,$1.00,$1.00,0.00568,"$45,363,201,989",-8.91,"$151,633,023,762",0.155
2025-05-19,$1.00,$1.00,$1.00,$1.00,$1.00,-0.00582,"$49,800,660,634",10.46,"$151,399,092,688",0.0435
2025-05-18,$1.00,$1.00,$1.00,$1.00,$1.00,-0.00384,"$45,084,606,875",36.87,"$151,333,296,980",0.0473
2025-05-17,$1.00,$1.00,$1.00,$1.00,$1.00,0.0123,"$32,938,979,092",-12.52,"$151,261,710,538",0.116
2025-05-16,$1.00,$1.00,$1.00,$1.00,$1.00,0.00504,"$37,654,202,832",-25.84,"$151,085,966,054",0.262
2025-05-15,$1.00,$1.00,$1.00,$1.00,$1.00,-0.00469,"$50,773,692,479",7.50,"$150,691,417,521",0.217
2025-05-14,$1.00,$1.00,$1.00,$1.00,$1.00,0.00275,"$47,229,914,385",-19.50,"$150,364,508,299",0.192
